,0,1,2,3
38,06.04.2020,95,"7,5 - 11,5","Пресс-релиз НБ РК от 3 апреля 2020 года № 15 «О снижении базовой ставки до 9,5%»Постановление Совета директоров Национального Банка Республики Казахстан от 3 апреля 2020 года № 13"
39,28.04.2020,95,"7,5 - 11,5","Пресс-релиз НБ РК от 27 апреля 2020 года № 16 «О сохранении базовой ставки на уровне 9,5%»Постановление Совета директоров Национального Банка Республики Казахстан от 27 апреля 2020 года № 15"
40,09.06.2020,95,"7,5 - 11,5","Пресс-релиз НБ РК от 8 июня 2020 года № 21 «О сохранении базовой ставки на уровне 9,5%»Постановление Совета директоров Национального Банка Республики Казахстан от 8 июня 2020 года № 20"
41,21.07.2020,90,"7,5 - 10,5","Пресс-релиз НБ РК от 20 июля 2020 года № 28 «О снижении базовой ставки до 9,00%»Постановление Совета директоров Национального Банка Республики Казахстан от 20 июля 2020 года № 33"
42,08.09.2020,90,"7,5 - 10,5","Пресс-релиз НБ РК от 7 сентября 2020 года № 38 «О сохранении базовой ставки на уровне 9,00%»"
43,27.10.2020,90,"7,5 - 10,5","Пресс-релиз НБ РК от 26 октября 2020 года № 43 «О сохранении базовой ставки на уровне 9,00%»"
44,15.12.2020,90,"8,00-10,00","Пресс-релиз НБ РК от 14 декабря 2020 года № 52 «О сохранении базовой ставки на уровне 9,00%»"
45,26.01.2021,90,"8,00-10,00","Пресс-релиз НБ РК от 25 января 2021 года № 1 «О сохранении базовой ставки на уровне 9,00%»Постановление Комитета по денежно-кредитной политике НБ РК от 22 января 2021 года № 1 «Об установлении базовой ставки»"
46,10.03.2021,90,"8,00-10,00","Пресс-релиз НБ РК от 9 марта 2021 года № 4 «О сохранении базовой ставки на уровне 9,00%»Постановление Комитета по денежно-кредитной политике НБ РК от 5 марта 2021 года № 3 «Об установлении базовой ставки»"
47,27.04.2021,90,"8,00-10,00","Пресс-релиз НБ РК от 26 апреля 2021 года № 7 «О сохранении базовой ставки на уровне 9,00%»Постановление Комитета по денежно-кредитной политике НБ РК от 23 апреля 2021 года № 4 «Об установлении базовой ставки»"
48,08.06.2021,90,"8,00-10,00","Пресс-релиз НБ РК от 7 июня 2021 года № 10 «О сохранении базовой ставки на уровне 9,00%»Постановление Комитета по денежно-кредитной политике НБ РК от 4 июня 2021 года № 5 «Об установлении базовой ставки»"
49,27.07.2021,925,"8,25-10,25","Пресс-релиз НБ РК от 26 июля 2021 года № 12 «О повышении базовой ставки до 9,25%»Постановление Комитета по денежно-кредитной политике НБ РК от 21 июля 2021 года № 6 «Об установлении базовой ставки»"
50,14.09.2021,950,"8,50-10,50","Пресс-релиз НБ РК от 13 сентября 2021 года № 17 «О повышении базовой ставки до 9,50%»Постановление Комитета по денежно-кредитной политике НБ РК от 10 сентября 2021 года № 7 «Об установлении базовой ставки»"
51,26.10.2021,975,"8,75-10,75","Пресс-релиз НБ РК от 25 октября 2021 года № 20 «О повышении базовой ставки до 9,75%»Постановление Комитета по денежно-кредитной политике НБ РК от 22 октября 2021 года № 8 «Об установлении базовой ставки»"
52,07.12.2021,975,"8,75-10,75","Пресс-релиз НБ РК от 6 декабря 2021 года № 30 «О сохранении базовой ставки на уровне 9,75%»Постановление Комитета по денежно-кредитной политике НБ РК от 3 декабря 2021 года № 9 «Об установлении базовой ставки»"
53,25.01.2022,1025,"9,25-11,25","Пресс-релиз НБ РК от 24 января 2022 года № 2 «О повышении базовой ставки до 10,25%»Постановление Комитета по денежно-кредитной политике НБ РК от 21 января 2022 года № 2 «Об установлении базовой ставки»"
54,24.02.2022,135,"12,5-14,5","Пресс-релиз НБ РК от 24 февраля 2022 года № 4 «О повышении базовой ставки до 13,5%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 24 февраля 2022 года № 3 «Об установлении базовой ставки»"
55,10.03.2022,135,"12,5-14,5","Пресс-релиз НБ РК от 9 марта 2022 года № 7 «О сохранении базовой ставки на уровне 13,5%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 5 марта 2022 года № 4 «Об установлении базовой ставки»"
56,26.04.2022,140,"13,0-15,0",Пресс-релиз НБ РК от 25 апреля 2022 года № 10 «О повышении базовой ставки до 14%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 21 апреля 2022 года № 5 «Об установлении базовой ставки»
57,07.06.2022,140,"13,0-15,0",Пресс-релиз НБ РК от 6 июня 2022 года № 15 «О сохранении базовой ставки на уровне 14%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 3 июня 2022 года № 6 «Об установлении базовой ставки»
58,26.07.2022,145,"13,5-15,5","Пресс-релиз НБ РК от 25 июля 2022 года «О повышении базовой ставки до 14,5%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 22 июля 2022 года № 7 «Об установлении базовой ставки»"
59,06.09.2022,145,"13,5-15,5","Пресс-релиз НБ РК от 5 сентября 2022 года «О сохранении базовой ставки на уровне 14,5%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 2 сентября 2022 года № 8 «Об установлении базовой ставки»"
60,27.10.2022,160,"15,0-17,0",Пресс-релиз НБ РК от 26 октября 2022 года «О повышении базовой ставки до 16%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 21 октября 2022 года № 9 «Об установлении базовой ставки»
61,06.12.2022,1675,"15,75-17,75","Пресс-релиз НБ РК от 5 декабря 2022 года «О повышении базовой ставки до 16,75%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 2 декабря 2022 года № 10 «Об установлении базовой ставки»"
62,16.01.2023,1675,"15,75-17,75","Пресс-релиз НБ РК от 13 января 2023 года «О сохранении базовой ставки на уровне 16,75%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 12 января 2023 года № 1 «Об установлении базовой ставки»"
63,27.02.2023,1675,"15,75-17,75","Пресс-релиз НБ РК от 24 февраля 2023 года «О сохранении базовой ставки на уровне 16,75%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 23 февраля 2023 года № 2 «Об установлении базовой ставки»"
64,10.04.2023*,1675,"15,75-17,75","Пресс-релиз НБ РК от 7 апреля 2023 года «О сохранении базовой ставки на уровне 16,75%»Постановление Комитета по денежно-кредитной политике Национального Банка Республики Казахстан от 6 апреля 2023 года № 3 «Об установлении базовой ставки»"
